,billing_amount,merchant_name,merchant_category
555,125.0,MAHA BAZAAR BANGALORE,FOOD
556,183.0,WWW FOODPANDA IN,FOOD
557,240.0,TRUFFLES,FOOD
558,335.0,BHARATHIS ANDHRA STYLE,FOOD
559,253.0,CAFE COFFEE DAY,FOOD
560,817.0,Ideal Super Market.2,FOOD
561,1365.0,Ideal Super Market.2,FOOD
562,122.0,Ashirwad Super Market,FOOD
563,225.0,CITI FOOD CENTRE,FOOD
564,304.64,"MORE,",FOOD
565,145.0,FOODWORLD,FOOD
566,468.0,urdoorstep.com,FOOD
567,130.0,HUNGREE BELLY,FOOD
568,817.0,PLUS POINT HYPER MARKE,FOOD
569,369.0,CLICK HOME SHOP,FOOD
570,178.0,Grand Mart Super Mar1.,FOOD
571,110.0,BHAGINI BAR & RESTAURA,FOOD
572,1671.0,VILLAGE SUPER MARKET BANGALORE,FOOD
573,538.5,KFC,FOOD
574,180.0,SUBWAY - S M VISIONS,FOOD
575,1103.8,DMART SIDDAPURA,FOOD
576,109.0,BURMA SUPER MARKET,FOOD
577,116.0,SREE SPICY HUB,FOOD
578,188.54,HERITAGE FOODS,FOOD
579,1790.02,SAHAKARI BHANDAR,FOOD
580,672.0,PARADISE FOOD COURT,FOOD
581,100.0,VASUDEV ADIGAS,FOOD
582,125.0,EDEN FRESH FRUITS,FOOD
583,240.0,KABAB MAGIC-MARATHALLI,FOOD
584,452.0,SPAR GOPALAN SIGNATURE,FOOD
585,551.0,BAHAR CAFE,FOOD
586,157.0,SWATHI SPICE NICE,GENERAL
587,151.0,BHAGINI BAR & RESTAURA,FOOD
588,168.01,"MC DONALDS,",FOOD
